Ano,Trimestre,Cidade,Tipo de Imóvel,Material Utilizado,Quantidade (m³),Valor Material (R$),Área Construída (m²)
2019,Q1,Cidade B,Industrial,Papel,28,8932,50
2019,Q1,Cidade B,Industrial,Poliéster,79,72680,163
2019,Q1,Cidade B,Industrial,Couro,12,3720,85
2019,Q1,Cidade B,Industrial,Areia,95,95000,130
2019,Q1,Cidade C,Residencial,Barra Metal,23,4807,120
2019,Q1,Cidade C,Residencial,Madeira,65,58630,197
2019,Q1,Cidade C,Residencial,Pedra Britada,48,22704,87
2019,Q1,Cidade C,Residencial,Fio Algodão,40,9520,131
2019,Q1,Cidade C,Residencial,Cimento,23,14536,119
2019,Q1,Cidade C,Residencial,Tecido,79,44872,154
2019,Q1,Cidade C,Residencial,Papel,76,37088,191
2019,Q1,Cidade C,Residencial,Poliéster,25,15000,146
2019,Q1,Cidade C,Residencial,Couro,57,19323,152
2019,Q1,Cidade C,Residencial,Areia,33,7260,192
2019,Q1,Cidade C,Comercial,Barra Metal,87,43500,89
2019,Q1,Cidade C,Comercial,Madeira,24,17808,135
2019,Q1,Cidade C,Comercial,Pedra Britada,57,56829,190
2019,Q1,Cidade C,Comercial,Fio Algodão,32,18272,87
2019,Q1,Cidade C,Comercial,Cimento,38,20178,115
2019,Q1,Cidade C,Comercial,Tecido,16,6640,193
2019,Q1,Cidade C,Comercial,Papel,50,38550,114
2019,Q1,Cidade C,Comercial,Poliéster,94,20868,158
2019,Q1,Cidade C,Comercial,Couro,31,22196,52
2019,Q1,Cidade C,Comercial,Areia,51,11475,117
2019,Q1,Cidade C,Industrial,Barra Metal,53,28567,143
2019,Q1,Cidade C,Industrial,Madeira,75,65100,64
2019,Q1,Cidade C,Industrial,Pedra Britada,51,23409,180
2019,Q1,Cidade C,Industrial,Fio Algodão,38,17290,112
2019,Q1,Cidade C,Industrial,Cimento,67,37185,157
2019,Q1,Cidade C,Industrial,Tecido,13,9295,152
2019,Q1,Cidade C,Industrial,Papel,17,2023,141
2019,Q1,Cidade C,Industrial,Poliéster,54,41256,148
2019,Q1,Cidade C,Industrial,Couro,69,51129,112
2019,Q1,Cidade C,Industrial,Areia,62,11222,75
2019,Q1,Cidade D,Residencial,Barra Metal,38,31806,165
2019,Q1,Cidade D,Residencial,Madeira,54,16794,169
2019,Q1,Cidade D,Residencial,Pedra Britada,62,16430,52
2019,Q1,Cidade D,Residencial,Fio Algodão,67,13400,70
2019,Q1,Cidade D,Residencial,Cimento,74,28490,77
2019,Q1,Cidade D,Residencial,Tecido,43,17845,150
2019,Q1,Cidade D,Residencial,Papel,88,40216,141
2019,Q1,Cidade D,Residencial,Poliéster,58,23084,184
2019,Q1,Cidade D,Residencial,Couro,10,8120,183
2019,Q1,Cidade D,Residencial,Areia,62,28272,66
2019,Q1,Cidade D,Comercial,Barra Metal,45,17100,145
2019,Q1,Cidade D,Comercial,Madeira,82,61582,103
2019,Q1,Cidade D,Comercial,Pedra Britada,29,18908,77
2019,Q1,Cidade D,Comercial,Fio Algodão,47,30691,62
2019,Q1,Cidade D,Comercial,Cimento,23,22471,160
2019,Q1,Cidade D,Comercial,Tecido,29,9599,183
2019,Q1,Cidade D,Comercial,Papel,99,15741,113
2019,Q1,Cidade D,Comercial,Poliéster,55,33605,156
2019,Q1,Cidade D,Comercial,Couro,57,53751,200
2019,Q1,Cidade D,Comercial,Areia,85,60775,86
2019,Q1,Cidade D,Industrial,Barra Metal,26,17212,67
2019,Q1,Cidade D,Industrial,Madeira,33,4059,172
2019,Q1,Cidade D,Industrial,Pedra Britada,15,9765,80
2019,Q1,Cidade D,Industrial,Fio Algodão,66,34452,56
2019,Q1,Cidade D,Industrial,Cimento,72,55368,118
2019,Q1,Cidade D,Industrial,Tecido,50,33500,88
2019,Q1,Cidade D,Industrial,Papel,32,12096,121
2019,Q1,Cidade D,Industrial,Poliéster,71,39334,193
2019,Q1,Cidade D,Industrial,Couro,15,11175,167
2019,Q1,Cidade D,Industrial,Areia,65,62530,74
2019,Q1,Cidade E,Residencial,Barra Metal,31,27962,103
2019,Q1,Cidade E,Residencial,Madeira,48,47040,155
2019,Q1,Cidade E,Residencial,Pedra Britada,80,13680,155
2019,Q1,Cidade E,Residencial,Fio Algodão,13,7098,150
2019,Q1,Cidade E,Residencial,Cimento,60,40260,91
2019,Q1,Cidade E,Residencial,Tecido,37,7252,154
2019,Q1,Cidade E,Residencial,Papel,64,41920,66
2019,Q1,Cidade E,Residencial,Poliéster,78,13416,56
2019,Q1,Cidade E,Residencial,Couro,26,7488,185
2019,Q1,Cidade E,Residencial,Areia,47,8601,73
2019,Q1,Cidade E,Comercial,Barra Metal,54,16362,114
2019,Q1,Cidade E,Comercial,Madeira,89,31417,85
2019,Q1,Cidade E,Comercial,Pedra Britada,20,12700,169
2019,Q1,Cidade E,Comercial,Fio Algodão,22,8668,54
2019,Q1,Cidade E,Comercial,Cimento,97,60625,54
2019,Q1,Cidade E,Comercial,Tecido,84,66444,194
2019,Q1,Cidade E,Comercial,Papel,72,44928,84
2019,Q1,Cidade E,Comercial,Poliéster,79,37920,110
2019,Q1,Cidade E,Comercial,Couro,90,86850,56
2019,Q1,Cidade E,Comercial,Areia,86,31046,80
2019,Q1,Cidade E,Industrial,Barra Metal,17,5916,198
2019,Q1,Cidade E,Industrial,Madeira,39,9594,143
2019,Q1,Cidade E,Industrial,Pedra Britada,93,54777,118
2019,Q1,Cidade E,Industrial,Fio Algodão,38,17974,160
2019,Q1,Cidade E,Industrial,Cimento,27,23436,95
2019,Q1,Cidade E,Industrial,Tecido,15,8640,169
2019,Q1,Cidade E,Industrial,Papel,98,27342,177
2019,Q1,Cidade E,Industrial,Poliéster,68,45356,197
2019,Q1,Cidade E,Industrial,Couro,79,9243,111
2019,Q1,Cidade E,Industrial,Areia,76,51224,54
2019,Q2,Cidade A,Residencial,Barra Metal,13,12493,181
2019,Q2,Cidade A,Residencial,Madeira,10,3860,108
2019,Q2,Cidade A,Residencial,Pedra Britada,82,79950,86
2019,Q2,Cidade A,Residencial,Fio Algodão,80,29280,68
2019,Q2,Cidade A,Residencial,Cimento,88,15312,151
2019,Q2,Cidade A,Residencial,Tecido,83,10209,55
2019,Q2,Cidade A,Residencial,Papel,50,22250,173
2019,Q2,Cidade A,Residencial,Poliéster,30,6330,105
2019,Q2,Cidade A,Residencial,Couro,59,55047,113
2019,Q2,Cidade A,Residencial,Areia,28,24472,157
2019,Q2,Cidade A,Comercial,Barra Metal,64,53568,197
2019,Q2,Cidade A,Comercial,Madeira,69,48852,185
2019,Q2,Cidade A,Comercial,Pedra Britada,60,49920,184
2019,Q2,Cidade A,Comercial,Fio Algodão,42,9450,82
2019,Q2,Cidade A,Comercial,Cimento,88,48488,149
2019,Q2,Cidade A,Comercial,Tecido,38,36176,82
2019,Q2,Cidade A,Comercial,Papel,65,14950,62
2019,Q2,Cidade A,Comercial,Poliéster,50,37600,111
2019,Q2,Cidade A,Comercial,Couro,89,52510,55
2019,Q2,Cidade A,Comercial,Areia,30,24840,76
2019,Q2,Cidade A,Industrial,Barra Metal,60,35580,189
2019,Q2,Cidade A,Industrial,Madeira,25,10550,91
2019,Q2,Cidade A,Industrial,Pedra Britada,32,9152,74
2019,Q2,Cidade A,Industrial,Fio Algodão,39,13533,145
2019,Q2,Cidade A,Industrial,Cimento,72,68616,95
2019,Q2,Cidade A,Industrial,Tecido,64,57152,165
2019,Q2,Cidade A,Industrial,Papel,74,16058,135
2019,Q2,Cidade A,Industrial,Poliéster,77,76076,55
2019,Q2,Cidade A,Industrial,Couro,76,8512,197
2019,Q2,Cidade A,Industrial,Areia,38,22078,120
2019,Q2,Cidade B,Residencial,Barra Metal,78,19344,184
2019,Q2,Cidade B,Residencial,Madeira,73,20294,130
2019,Q2,Cidade B,Residencial,Pedra Britada,41,25174,83
2019,Q2,Cidade B,Residencial,Fio Algodão,51,21012,154
2019,Q2,Cidade B,Residencial,Cimento,90,22050,107
2019,Q2,Cidade B,Residencial,Tecido,38,35226,181
2019,Q2,Cidade B,Residencial,Papel,67,10117,144
2019,Q2,Cidade B,Residencial,Poliéster,12,9420,69
2019,Q2,Cidade B,Residencial,Couro,87,66729,125
2019,Q2,Cidade B,Residencial,Areia,21,17136,172
2019,Q2,Cidade B,Comercial,Barra Metal,20,19660,99
2019,Q2,Cidade B,Comercial,Madeira,51,8364,120
2019,Q2,Cidade B,Comercial,Pedra Britada,11,6380,66
2019,Q2,Cidade B,Comercial,Fio Algodão,74,17612,102
2019,Q2,Cidade B,Comercial,Cimento,62,14508,148
2019,Q2,Cidade B,Comercial,Tecido,87,66468,99
2019,Q2,Cidade B,Comercial,Papel,15,12270,72
2019,Q2,Cidade B,Comercial,Poliéster,45,6345,178
2019,Q2,Cidade B,Comercial,Couro,12,8784,101
2019,Q2,Cidade B,Comercial,Areia,87,77952,164
2019,Q2,Cidade B,Industrial,Barra Metal,47,9917,158
2019,Q2,Cidade B,Industrial,Madeira,94,33840,58
2019,Q2,Cidade B,Industrial,Pedra Britada,72,8064,151
2019,Q2,Cidade B,Industrial,Fio Algodão,56,54264,153
2019,Q2,Cidade B,Industrial,Cimento,70,49770,147
2019,Q2,Cidade B,Industrial,Tecido,28,19740,139
2019,Q2,Cidade B,Industrial,Papel,71,62267,61
2019,Q2,Cidade B,Industrial,Poliéster,72,16056,157
2019,Q2,Cidade B,Industrial,Couro,77,47355,102
2019,Q2,Cidade B,Industrial,Areia,89,57494,118
2019,Q2,Cidade C,Residencial,Barra Metal,39,12987,193
2019,Q2,Cidade C,Residencial,Madeira,60,59220,153
2019,Q2,Cidade C,Residencial,Pedra Britada,56,13216,165
2019,Q2,Cidade C,Residencial,Fio Algodão,22,20482,54
2019,Q2,Cidade C,Residencial,Cimento,97,15229,57
2019,Q2,Cidade C,Residencial,Tecido,19,2128,162
2019,Q2,Cidade C,Residencial,Papel,91,21658,86
2019,Q2,Cidade C,Residencial,Poliéster,78,69654,199
2019,Q2,Cidade C,Residencial,Couro,77,39501,123
2019,Q2,Cidade C,Residencial,Areia,34,26758,141
2019,Q2,Cidade C,Comercial,Barra Metal,21,14217,107
2019,Q2,Cidade C,Comercial,Madeira,47,30080,174
2019,Q2,Cidade C,Comercial,Pedra Britada,49,33075,106
2019,Q2,Cidade C,Comercial,Fio Algodão,66,7656,192
2019,Q2,Cidade C,Comercial,Cimento,29,20126,147
2019,Q2,Cidade C,Comercial,Tecido,98,40474,147
2019,Q2,Cidade C,Comercial,Papel,83,52207,79
2019,Q2,Cidade C,Comercial,Poliéster,28,5768,196
2019,Q2,Cidade C,Comercial,Couro,83,33200,165
2019,Q2,Cidade C,Comercial,Areia,60,43680,153
2019,Q2,Cidade C,Industrial,Barra Metal,58,29638,124
2019,Q2,Cidade C,Industrial,Madeira,100,15800,81
2019,Q2,Cidade C,Industrial,Pedra Britada,56,36120,80
2019,Q2,Cidade C,Industrial,Fio Algodão,21,2541,63
2019,Q2,Cidade C,Industrial,Cimento,81,38070,101
2019,Q2,Cidade C,Industrial,Tecido,60,11640,149
2019,Q2,Cidade C,Industrial,Papel,15,7470,64
2019,Q2,Cidade C,Industrial,Poliéster,80,59440,82
2019,Q2,Cidade C,Industrial,Couro,61,41297,101
2019,Q2,Cidade C,Industrial,Areia,45,39060,81
2019,Q2,Cidade D,Residencial,Barra Metal,24,6264,166
2019,Q2,Cidade D,Residencial,Madeira,22,21912,51
2019,Q2,Cidade D,Residencial,Pedra Britada,77,17556,170
2019,Q2,Cidade D,Residencial,Fio Algodão,39,20163,115
2019,Q2,Cidade D,Residencial,Cimento,57,54777,200
2019,Q2,Cidade D,Residencial,Tecido,95,62700,116
2019,Q2,Cidade D,Residencial,Papel,12,4128,118
2019,Q2,Cidade D,Residencial,Poliéster,96,15264,93
2019,Q2,Cidade D,Residencial,Couro,86,74648,194
2019,Q2,Cidade D,Residencial,Areia,75,47475,56
2019,Q2,Cidade D,Comercial,Barra Metal,87,30972,176
2019,Q2,Cidade D,Comercial,Madeira,48,33888,110
2019,Q2,Cidade D,Comercial,Pedra Britada,78,27768,162
2019,Q2,Cidade D,Comercial,Fio Algodão,48,28176,62
2019,Q2,Cidade D,Comercial,Cimento,46,13616,169
2019,Q2,Cidade D,Comercial,Tecido,19,9177,146
2019,Q2,Cidade D,Comercial,Papel,21,13566,186
2019,Q2,Cidade D,Comercial,Poliéster,76,62168,181
2019,Q2,Cidade D,Comercial,Couro,51,44217,112
2019,Q2,Cidade D,Comercial,Areia,33,24288,125
2019,Q2,Cidade D,Industrial,Barra Metal,82,27716,66
2019,Q2,Cidade D,Industrial,Madeira,30,28170,107
2019,Q2,Cidade D,Industrial,Pedra Britada,25,16225,68
2019,Q2,Cidade D,Industrial,Fio Algodão,64,28480,140
2019,Q2,Cidade D,Industrial,Cimento,46,10902,85
2019,Q2,Cidade D,Industrial,Tecido,28,19432,122
2019,Q2,Cidade D,Industrial,Papel,87,66120,160
2019,Q2,Cidade D,Industrial,Poliéster,72,61056,122
2019,Q2,Cidade D,Industrial,Couro,63,30744,83
2019,Q2,Cidade D,Industrial,Areia,100,29100,137
2019,Q2,Cidade E,Residencial,Barra Metal,18,14346,120
2019,Q2,Cidade E,Residencial,Madeira,65,14820,80
2019,Q2,Cidade E,Residencial,Pedra Britada,63,42462,101
2019,Q2,Cidade E,Residencial,Fio Algodão,51,44472,191
2019,Q2,Cidade E,Residencial,Cimento,43,17888,122
2019,Q2,Cidade E,Residencial,Tecido,61,49532,104
2019,Q2,Cidade E,Residencial,Papel,87,42978,115
2019,Q2,Cidade E,Residencial,Poliéster,81,14499,108
2019,Q2,Cidade E,Residencial,Couro,33,31350,102
2019,Q2,Cidade E,Residencial,Areia,84,81816,140
2019,Q2,Cidade E,Comercial,Barra Metal,59,36816,177
2019,Q2,Cidade E,Comercial,Madeira,35,32655,161
2019,Q2,Cidade E,Comercial,Pedra Britada,56,14560,137
2019,Q2,Cidade E,Comercial,Fio Algodão,75,52050,119
2019,Q2,Cidade E,Comercial,Cimento,72,25488,180
2019,Q2,Cidade E,Comercial,Tecido,48,35904,86
2019,Q2,Cidade E,Comercial,Papel,35,8365,144
2019,Q2,Cidade E,Comercial,Poliéster,30,3450,63
2019,Q2,Cidade E,Comercial,Couro,34,14892,121
2019,Q2,Cidade E,Comercial,Areia,46,20102,107
2019,Q2,Cidade E,Industrial,Barra Metal,49,32536,162
2019,Q2,Cidade E,Industrial,Madeira,24,2592,65
2019,Q2,Cidade E,Industrial,Pedra Britada,31,17360,173
2019,Q2,Cidade E,Industrial,Fio Algodão,66,41250,133
2019,Q2,Cidade E,Industrial,Cimento,23,8970,191
2019,Q2,Cidade E,Industrial,Tecido,50,15500,117
2019,Q2,Cidade E,Industrial,Papel,59,55342,59
2019,Q2,Cidade E,Industrial,Poliéster,25,4075,75
2019,Q2,Cidade E,Industrial,Couro,40,34880,149
2019,Q2,Cidade E,Industrial,Areia,17,8109,161
2019,Q3,Cidade A,Residencial,Barra Metal,57,50673,135
2019,Q3,Cidade A,Residencial,Madeira,26,14170,152
2019,Q3,Cidade A,Residencial,Pedra Britada,39,26130,108
2019,Q3,Cidade A,Residencial,Fio Algodão,31,13423,108
2019,Q3,Cidade A,Residencial,Cimento,20,3580,75
2019,Q3,Cidade A,Residencial,Tecido,62,42966,93
2019,Q3,Cidade A,Residencial,Papel,28,16044,147
2019,Q3,Cidade A,Residencial,Poliéster,53,41764,84
2019,Q3,Cidade A,Residencial,Couro,24,10824,89
2019,Q3,Cidade A,Residencial,Areia,33,15642,145
2019,Q3,Cidade A,Comercial,Barra Metal,19,2432,148
2019,Q3,Cidade A,Comercial,Madeira,62,10602,154
2019,Q3,Cidade A,Comercial,Pedra Britada,86,67854,141
2019,Q3,Cidade A,Comercial,Fio Algodão,93,31527,127
2019,Q3,Cidade A,Comercial,Cimento,27,5697,79
2019,Q3,Cidade A,Comercial,Tecido,73,37011,111
2019,Q3,Cidade A,Comercial,Papel,57,56943,58
2019,Q3,Cidade A,Comercial,Poliéster,62,6510,126
2019,Q3,Cidade A,Comercial,Couro,34,18564,96
2019,Q3,Cidade A,Comercial,Areia,96,42144,123
2019,Q3,Cidade A,Industrial,Barra Metal,36,35928,99
2019,Q3,Cidade A,Industrial,Madeira,49,30037,90
2019,Q3,Cidade A,Industrial,Pedra Britada,92,15272,188
2019,Q3,Cidade A,Industrial,Fio Algodão,57,6897,130
2019,Q3,Cidade A,Industrial,Cimento,69,31533,126
2019,Q3,Cidade A,Industrial,Tecido,16,8656,87
2019,Q3,Cidade A,Industrial,Papel,82,76670,128
2019,Q3,Cidade A,Industrial,Poliéster,81,74682,132
2019,Q3,Cidade A,Industrial,Couro,83,80842,114
2019,Q3,Cidade A,Industrial,Areia,95,59850,109
2019,Q3,Cidade B,Residencial,Barra Metal,17,14280,195
2019,Q3,Cidade B,Residencial,Madeira,48,19728,61
2019,Q3,Cidade B,Residencial,Pedra Britada,74,30192,90
2019,Q3,Cidade B,Residencial,Fio Algodão,99,45639,177
2019,Q3,Cidade B,Residencial,Cimento,17,8568,127
2019,Q3,Cidade B,Residencial,Tecido,33,31383,175
2019,Q3,Cidade B,Residencial,Papel,62,10850,163
2019,Q3,Cidade B,Residencial,Poliéster,70,29610,121
2019,Q3,Cidade B,Residencial,Couro,45,9810,76
2019,Q3,Cidade B,Residencial,Areia,45,42705,89
2019,Q3,Cidade B,Comercial,Barra Metal,96,34560,54
2019,Q3,Cidade B,Comercial,Madeira,27,19467,65
2019,Q3,Cidade B,Comercial,Pedra Britada,37,3922,156
2019,Q3,Cidade B,Comercial,Fio Algodão,46,31280,152
2019,Q3,Cidade B,Comercial,Cimento,69,57546,171
2019,Q3,Cidade B,Comercial,Tecido,78,26988,130
2019,Q3,Cidade B,Comercial,Papel,71,55522,113
2019,Q3,Cidade B,Comercial,Poliéster,19,5282,154
2019,Q3,Cidade B,Comercial,Couro,98,82908,151
2019,Q3,Cidade B,Comercial,Areia,22,16126,104
2019,Q3,Cidade B,Industrial,Barra Metal,54,41742,167
2019,Q3,Cidade B,Industrial,Madeira,15,4485,145
2019,Q3,Cidade B,Industrial,Pedra Britada,12,4644,171
2019,Q3,Cidade B,Industrial,Fio Algodão,75,44175,82
2019,Q3,Cidade B,Industrial,Cimento,40,12080,89
2019,Q3,Cidade B,Industrial,Tecido,46,40572,192
2019,Q3,Cidade B,Industrial,Papel,91,29757,68
2019,Q3,Cidade B,Industrial,Poliéster,47,37929,123
2019,Q3,Cidade B,Industrial,Couro,50,9000,108
2019,Q3,Cidade B,Industrial,Areia,15,12465,107
2019,Q3,Cidade C,Residencial,Barra Metal,75,32400,59
2019,Q3,Cidade C,Residencial,Madeira,48,29904,59
2019,Q3,Cidade C,Residencial,Pedra Britada,37,35779,82
2019,Q3,Cidade C,Residencial,Fio Algodão,49,9996,171
2019,Q3,Cidade C,Residencial,Cimento,78,38376,193
2019,Q3,Cidade C,Residencial,Tecido,41,23329,80
2019,Q3,Cidade C,Residencial,Papel,35,20195,122
2019,Q3,Cidade C,Residencial,Poliéster,27,11664,109
2019,Q3,Cidade C,Residencial,Couro,68,20808,120
2019,Q3,Cidade C,Residencial,Areia,51,7344,102
2019,Q3,Cidade C,Comercial,Barra Metal,10,9300,60
2019,Q3,Cidade C,Comercial,Madeira,54,52218,52
2019,Q3,Cidade C,Comercial,Pedra Britada,50,39800,57
2019,Q3,Cidade C,Comercial,Fio Algodão,71,19170,144
2019,Q3,Cidade C,Comercial,Cimento,90,15300,56
2019,Q3,Cidade C,Comercial,Tecido,11,10604,119
2019,Q3,Cidade C,Comercial,Papel,55,21780,69
2019,Q3,Cidade C,Comercial,Poliéster,82,13530,169
2019,Q3,Cidade C,Comercial,Couro,84,25032,96
2019,Q3,Cidade C,Comercial,Areia,63,24192,146
2019,Q3,Cidade C,Industrial,Barra Metal,96,90816,190
2019,Q3,Cidade C,Industrial,Madeira,100,75800,188
2019,Q3,Cidade C,Industrial,Pedra Britada,44,12892,71
2019,Q3,Cidade C,Industrial,Fio Algodão,58,25636,160
2019,Q3,Cidade C,Industrial,Cimento,98,15680,177
2019,Q3,Cidade C,Industrial,Tecido,60,36060,137
2019,Q3,Cidade C,Industrial,Papel,68,67524,87
2019,Q3,Cidade C,Industrial,Poliéster,19,5529,106
2019,Q3,Cidade C,Industrial,Couro,44,43868,160
2019,Q3,Cidade C,Industrial,Areia,36,4932,194
2019,Q3,Cidade D,Residencial,Barra Metal,47,17766,83
2019,Q3,Cidade D,Residencial,Madeira,83,35441,93
2019,Q3,Cidade D,Residencial,Pedra Britada,87,78213,52
2019,Q3,Cidade D,Residencial,Fio Algodão,43,24854,146
2019,Q3,Cidade D,Residencial,Cimento,70,68110,58
2019,Q3,Cidade D,Residencial,Tecido,75,66750,174
2019,Q3,Cidade D,Residencial,Papel,91,15834,176
2019,Q3,Cidade D,Residencial,Poliéster,91,25662,70
2019,Q3,Cidade D,Residencial,Couro,84,59052,128
2019,Q3,Cidade D,Residencial,Areia,65,39390,71
2019,Q3,Cidade D,Comercial,Barra Metal,51,35955,151
2019,Q3,Cidade D,Comercial,Madeira,22,16126,86
2019,Q3,Cidade D,Comercial,Pedra Britada,70,44100,65
2019,Q3,Cidade D,Comercial,Fio Algodão,72,12168,111
2019,Q3,Cidade D,Comercial,Cimento,46,6348,63
2019,Q3,Cidade D,Comercial,Tecido,91,85176,81
2019,Q3,Cidade D,Comercial,Papel,15,14400,55
2019,Q3,Cidade D,Comercial,Poliéster,81,25110,127
2019,Q3,Cidade D,Comercial,Couro,50,5400,129
2019,Q3,Cidade D,Comercial,Areia,64,60992,126
2019,Q3,Cidade D,Industrial,Barra Metal,31,27311,88
2019,Q3,Cidade D,Industrial,Madeira,40,4560,165
2019,Q3,Cidade D,Industrial,Pedra Britada,31,11997,142
2019,Q3,Cidade D,Industrial,Fio Algodão,72,29160,50
2019,Q3,Cidade D,Industrial,Cimento,30,16470,112
2019,Q3,Cidade D,Industrial,Tecido,45,26280,140
2019,Q3,Cidade D,Industrial,Papel,24,22968,193
2019,Q3,Cidade D,Industrial,Poliéster,19,3040,91
2019,Q3,Cidade D,Industrial,Couro,26,20540,97
2019,Q3,Cidade D,Industrial,Areia,38,20938,51
2019,Q3,Cidade E,Residencial,Barra Metal,22,5962,109
2019,Q3,Cidade E,Residencial,Madeira,70,34300,95
2019,Q3,Cidade E,Residencial,Pedra Britada,32,26368,139
2019,Q3,Cidade E,Residencial,Fio Algodão,33,27324,114
2019,Q3,Cidade E,Residencial,Cimento,51,34323,131
2019,Q3,Cidade E,Residencial,Tecido,58,6554,133
2019,Q3,Cidade E,Residencial,Papel,87,37758,192
2019,Q3,Cidade E,Residencial,Poliéster,62,44764,71
2019,Q3,Cidade E,Residencial,Couro,24,14904,197
2019,Q3,Cidade E,Residencial,Areia,30,23040,56
2019,Q3,Cidade E,Comercial,Barra Metal,20,10380,119
2019,Q3,Cidade E,Comercial,Madeira,23,13294,104
2019,Q3,Cidade E,Comercial,Pedra Britada,98,83594,141
2019,Q3,Cidade E,Comercial,Fio Algodão,45,21600,183
2019,Q3,Cidade E,Comercial,Cimento,95,28595,67
2019,Q3,Cidade E,Comercial,Tecido,64,40640,113
2019,Q3,Cidade E,Comercial,Papel,10,8150,173
2019,Q3,Cidade E,Comercial,Poliéster,86,56330,147
2019,Q3,Cidade E,Comercial,Couro,72,63576,196
2019,Q3,Cidade E,Comercial,Areia,30,16020,118
2019,Q3,Cidade E,Industrial,Barra Metal,50,32800,173
2019,Q3,Cidade E,Industrial,Madeira,71,15833,161
2019,Q3,Cidade E,Industrial,Pedra Britada,69,23529,196
2019,Q3,Cidade E,Industrial,Fio Algodão,29,4698,169
2019,Q3,Cidade E,Industrial,Cimento,33,31944,98
2019,Q3,Cidade E,Industrial,Tecido,49,26117,166
2019,Q3,Cidade E,Industrial,Papel,23,11822,125
2019,Q3,Cidade E,Industrial,Poliéster,73,36865,177
2019,Q3,Cidade E,Industrial,Couro,88,38456,56
2019,Q3,Cidade E,Industrial,Areia,77,22715,179
2019,Q4,Cidade A,Residencial,Barra Metal,88,38016,76
2019,Q4,Cidade A,Residencial,Madeira,58,38512,59
2019,Q4,Cidade A,Residencial,Pedra Britada,96,85344,183
